食品番号,理由,スコア
10414,加熱済みのほたて貝柱は良質なタンパク源で素材として適している。,9
06341,トマト等の野菜を用いた食塩無添加のミックスジュースは栄養源として使えるが水分が多い点に留意。,7
07184,生の桃の果肉は種・核を除去すれば犬に与えて問題ない果物である。,8
06283,生の芽キャベツは野菜として素材に使えるが消化やガスに注意。,7
13024,コーヒーホワイトナーは加工度が高く脂肪や添加物が含まれるため使用に注意が必要。,5
10355,いかの燻製は加工品で塩分や調味が強い場合があり注意が必要。,5
03030,てんさい含蜜糖はエネルギー源として使えるが糖類であるため過量に注意。,6
01131,とうもろこしの玄穀は炭水化物や一部栄養を補う素材として適している。,8
11268,加熱済みの牛リブロースは良質なタンパク質と脂肪を供給する素材として適している。,9
06284,ゆでた芽キャベツは加熱により消化しやすく素材として適している。,8
02019,皮なしの水煮ジャガイモは加熱済みの炭水化物源として安全に使える。,8
10323,焼き海老は加熱済みで良質なたんぱく源となり素材として適している。,9
10450,良質な赤身の魚でタンパク源として適するが、生のため寄生虫や細菌リスクがある,7
07104,ベリー類でビタミンや食物繊維が豊富で犬に適する,8
17065,香辛料で刺激が強く消化器刺激のリスクがある,3
10154,青魚は栄養源として良いが、生のままは寄生虫や細菌リスクがある,6
06382,解凍や加熱して使える野菜のミックスで栄養補助に適する,8
16038,緑茶の浸出液はカフェインを含み、犬に有害となる可能性がある,1
11286,生の鶏肉はサルモネラ等の細菌リスクがあり注意が必要,5
10239,水煮された魚は加熱済みで安全なタンパク源として適する,9
06134,生の大根は消化に良く犬に適した野菜である,8
11286,（注：重複した番号があります）,5
04054,豆乳飲料に麦芽コーヒー成分（カフェイン）が含まれる可能性があり有害となる,2
01213,バンズは使える炭水化物源だが加工食品で主素材としてはやや劣る,6
11234,生の鶏皮は生食の細菌リスクと脂肪が高い点で注意が必要,5
17050,即席みそは調味料として利用可能だが塩分や加工度が高い,5
04012,乾燥えんどうは栄養豊富だが調理（戻し・加熱）が必要,7
15002,甘納豆は加糖された菓子で加工度が高く主素材には不向き,5
07075,シークヮーサー果汁は酸性が強く、量や扱いに注意が必要,6
06188,ゆでたとんぶりは加熱済みで種子由来の安全な素材,8
06338,油炒めされたチンゲンサイの葉は加熱済みで利用しやすい野菜,8
11075,生の牛ももは良質な赤身だが生食では細菌リスクがある,7
18023,松前漬けは調味済みの惣菜で塩分や強い風味があり素材としては不向き,3
06309,リーキはネギ類に属し、犬に溶血性貧血を引き起こす成分を含むため危険,1
16011,ぶどう由来の酒類は犬に腎障害を引き起こす可能性があるため禁止,1
15154,笹だんごは主成分が米や小豆の菓子で毒性はないが加工菓子のため素材としてはやや不適,5
14031,ショートニングは油脂で有害成分はなく使えるが高脂肪のため素材としては中程度,5
07160,乾燥いちごは果実で毒性はなく使用可能だが糖分が濃縮されている点に注意,7
11201,生のラム肉は良質なタンパク源だが生食による細菌・寄生虫リスクがあるためやや減点,7
14027,ひまわり油（ハイオレイック）は安全な食用油で犬のレシピ素材として適している,9
16013,紹興酒はアルコール飲料で中枢抑制などの危険があるため禁止,1
06171,生の唐辛子は辛味成分で消化器刺激が強く犬には注意が必要,3
05013,栗（甘ぐり）は可食で毒性はなく適度に使用できるが高でんぷんのため中程度,7
11253,焼き上げた牛ヒレは良質なタンパク源で犬のレシピ素材として非常に適している,10
10389,生のまあじ（海水魚）は栄養価は高いが生食による寄生虫・細菌リスクがあるためやや減点,6
15141,クリーム入りウエハースは加工菓子で糖・脂肪が多く素材としてはあまり望ましくない,5
11237,焼き鳥缶詰は加熱済みの鶏肉で使えるが調味液や塩分に注意が必要,6
17112,焼き鳥のたれは塩分・糖分や香味成分が強く調味料としては犬向けではない場合が多い,4
01208,全粒粉パンは穀物として可食だが加工品のため栄養管理が必要となる,7
06230,塩漬けの漬物は塩分や発酵成分が強く一般的に素材としては注意が必要,4
10313,生のほたて貝柱は貝類の生食で寄生虫・細菌リスクがあり注意が必要,5
02044,凍みこんにゃく（ゆで）は加熱済みのこんにゃくで毒性はなく利用できる,8
06245,青ピーマンは生の果実でも犬に害は少なくレシピ素材として適している,8
10293,水煮の養殖かきは加熱済みの貝類で良質なタンパク源。アレルギーや貝特有の個体差に注意。,8
10306,はまぐりは生の貝類で細菌・寄生虫のリスクがあるため生食は注意が必要。,5
10277,わかさぎの佃煮は加工品で塩分や添加物が高めになりやすいが少量なら素材として使える。,5
17018,りんご酢は風味付けとして使える安全な調味料。酸味で消化を助ける場合もある。,8
10034,いかなごの煮干しは乾燥魚で良質なタンパク源・カルシウム源だが塩分に注意。,8
15092,ウエハースは甘味・加工度が高く栄養価は低め。おやつ的に少量なら使用可。,5
18010,白身フライ（冷凍）は衣や揚げ油、調味がある加工食品で脂質・調味料が多く注意が必要。,4
10216,生のなまずは淡水魚で生食だと寄生虫・細菌リスクが高いため注意が必要。,4
11012,生の和牛リブロースは良質なたんぱく源だが生肉特有の細菌リスクがあるため扱いに注意。,8
10321,養殖の生くるまえびは生の甲殻類で細菌・寄生虫のリスクがあるため生食は注意。,5
10232,生の海水魚（みなみくろたち）は生食で寄生虫や細菌リスクがあり、種によっては毒性も懸念される。,6
02006,生のさつまいもはビタミンや食物繊維を含むが、加熱した方が消化性が良く扱いやすい。,7
06362,生のサンチュ葉は低カロリーでビタミン・水分が多く犬のレシピ素材として安全。,8
10048,水煮のまいわしは加熱済みで良質なタンパク源・オメガ3の供給源として適する。,9
10219,身欠きにしんは加工された魚でタンパク質はあるが塩分が高めになりやすい点に注意。,7
06310,ルバーブの葉柄（特に葉）はシュウ酸など有害物質を含み犬には有害となり得るため不適切。,2
15143,ずんだあんは加熱済みの豆ペーストで与えられるが糖分が高めのため量に注意。,7
06413,油いための緑豆もやしは加熱済みの野菜で消化しやすく使用しやすい。,8
03031,還元麦芽糖（マルチトール）は糖アルコールで消化器症状を起こすことがあるため慎重に。,4
17088,照りしょうゆは本みりん（アルコール）や濃口醤油を含む調味料で犬には不適切な成分が含まれる場合がある。,2
06318,茹でたれんこんは消化しやすく食物繊維が豊富で副材料として適する,8
15161,和菓子は糖質・加工成分が多く主要素材よりは少量の副材料向き,4
17070,セージは香辛料で刺激性があり少量の風味付けに限定すべき,4
10263,ツナ缶は良質なたんぱく源だが油分や塩分があるため量に配慮して使用,7
05003,あさ（乾）は良質な脂質とたんぱくを含み素材として適する,8
11059,牛ヒレは良質なタンパク源だが生肉は細菌リスクがあるため注意が必要,7
06079,茹でたくわいは消化しやすく食感のある副材料として使用可能,8
07048,オロブランコの果肉は水分・ビタミンを含み与えて良いが皮や種は除去する,7
11088,子牛もも肉は良質なたんぱく源だが生肉は細菌リスクがあるため注意,7
06288,茹でた大豆もやしは消化しやすい植物性たんぱく・食物繊維源として適する,8
03003,上白糖は栄養価が低く甘味付けに限定して少量で用いるべき,5
13005,低脂肪の加工乳はカルシウムやたんぱくを含むが乳糖不耐に注意,7
10046,田作りは魚由来のたんぱく・カルシウム源だが塩分が高い点に注意,7
10191,生のちだいは良質なたんぱくだが生食では寄生虫や細菌リスクがある,7
08024,栽培のうすひらたけは栄養があり使用可だが加熱して与える方が消化に良い,7
12009,乾燥全卵は良質なたんぱく源で保存性も高く素材に適する,9
17106,テンメンジャンは甘みの強い調味料で塩分・糖分が多く味付け用途に限定,5
01167,キヌア玄穀は良質な植物性たんぱくと食物繊維を含み副材料として適する,8
01194,即席カップめんは塩分や添加物が多く主要素材としては不向き,3
07050,渋抜きのかきは果肉に水分やビタミンがあり適量で与えられるが種は除去,7
16051,昆布茶はミネラルとうま味を含み、風味付けやだし素材として使用可能,8
02022,長芋（生）は栄養はあるが生のままだと消化がやや難しい場合があるため調理推奨,7
17141,めんつゆは塩分や濃い風味がある調味料のため少量での使用が望ましい,5
11055,牛肉は良質なタンパク源だが生肉は細菌リスクがあるため注意が必要,7
10241,ぶり（生）は栄養豊富だが生食では寄生虫や細菌のリスクがある,6
05011,ゆで栗は調理済みの炭水化物源として消化しやすく安全に使える,8
10190,くろだい（生）は生魚特有の寄生虫・細菌リスクがある,6
04106,ゆで黒大豆は良質な植物性タンパクと食物繊維を含み利用しやすい,8
07171,スイカ（生）は水分とビタミンが豊富で種を取り除けば安全に使える,8
02045,さつまいも（生）はでんぷん質が多く、加熱すると消化しやすく適する,6
10303,とりがい（生）は生の貝類で細菌や寄生虫のリスクがある,5
07057,グァバ（生）は果実としてビタミンや食物繊維を含み安全に使える,8
15079,パイ皮は高脂肪かつ加工度が高く頻用には向かない（少量使用を推奨）,5
04114,塩納豆は発酵食品として栄養があるが風味や塩分に注意が必要,7
14026,ひまわり油は安全な脂質源で調理や仕上げに適している,9
02069,ゆでアメリカほどいもは加熱済みで消化しやすく素材として使いやすい,8
10344,こういか（生）は生のイカで細菌や寄生虫のリスクがある,5
15069,あんパンは砂糖や加工成分が多く、使用は控えめにするのが望ましい,5
06067,きゅうりのしょうゆ漬けは塩分と調味料が強いため少量利用向き,4
10090,なまり節は魚由来の良質タンパクだが加工品ゆえ塩分や風味に注意が必要,7
01061,即席めんは加工度が高く塩分・添加物が多いため、犬の素材としてはあまり望ましくない,5
10320,生の伊勢海老は細菌や寄生虫のリスクがあるため、加熱してから使用するのが安全,5
11171,生の豚の副生物（子宮）は生食で寄生虫や細菌感染のリスクがあるため加熱が推奨される,5
07043,オレンジ濃縮還元ジュースは酸味と糖分が高い飲料成分で、果実由来としては使用できるが扱いに注意が必要,7
04065,ひよこまめ（乾）は良質な植物性たんぱく・食物繊維源だが、加熱して調理することで消化性が良くなる,6
13010,脱脂粉乳はタンパク質やカルシウムの供給源として使いやすいが、乳糖感受性の個体に配慮が必要,8
07086,チェリモヤの果肉は栄養価が高く素材として使えるが、種や果皮は取り除く必要がある,7
06402,アイスプラントはミネラルや食物繊維が豊富な野菜で犬のレシピ素材として適している,8
18007,ポテトコロッケ（冷凍・フライ用）は加工食品で脂質や塩分が高く、素材としては不向き,4
06160,チンゲンサイの葉はビタミンや食物繊維が豊富で犬のレシピ素材として適する,8
07054,キウイフルーツの果肉はビタミン豊富で利用できるが酸味に敏感な個体もいる,7
06354,ブロッコリースプラウトは栄養価が高い野菜で使いやすいが、消化に影響する場合がある,7
11084,牛ランプ赤肉は良質なたんぱく源だが、生の場合は細菌リスクに注意が必要,7
01164,コーングリッツは消化しやすい炭水化物源として犬のレシピ素材に適する,8
02026,じねんじょ（生）は栄養があるが生のままだと消化や刺激の問題が出ることがあるため処理や加熱が望ましい,6
06335,切干し大根の油いためは調理済みの野菜で使いやすく、食物繊維補給に適している,8
01042,ゆでた干しうどんは加熱済みの炭水化物で犬のレシピ素材として適している,9
11096,牛の第三胃（せんまい）は栄養があり使用可能だが、生は細菌リスクがある点に注意,7
11294,鹿赤肉は低脂肪で良質なたんぱく源だが、生は細菌リスクを伴うことがある,7
10363,あみのつくだ煮は濃い味付け（塩分・糖分）が強く、素材としては不向きで使用を避けるべき,3
11087,生の牛（子牛）ばら肉は良質なタンパク源だが生食による細菌・寄生虫リスクがあり加熱が望ましい。,7
17027,固形ブイヨンは加工調味料で塩分や旨味成分が強く、調味用途として少量なら使用可能。,6
10065,養殖いわなは生の淡水魚で寄生虫・微生物リスクがあり、生食は注意が必要。,5
18001,ビーフカレーは複合調理済みの惣菜で香辛料や塩分・脂質が高く素材としては扱いにくい。,3
06106,しろうりの果実は野菜として安全で、適切な下処理で犬のレシピ素材に向く。,8
15074,スポンジケーキは高糖質・加工食品で、少量なら使えるが主素材としては不向き。,5
14019,有塩発酵バターは高脂肪・塩分が高めで少量なら利用可能だが与え過ぎに注意。,6
15186,スイートチョコレートはテオブロミン・カフェインを含み犬に有害で絶対に避けるべき。,1
10272,生のメルルーサ（海水魚）は刺身用でも生食によるリスクがあるため加熱が望ましいが比較的安全寄り。,7
02029,くずでん粉は安全な炭水化物原料でレシピの増量剤やとろみ付けに適する。,8
12014,生卵白はアビジンによるビオチン阻害やサルモネラのリスクがあるため生は注意が必要。,5
10095,塩辛は発酵・高塩分の加工魚で塩分や強い調味が問題となりやすい。,3
10151,くん製べにざけは良質なタンパク源だが塩分や燻製による風味が強いため適量での使用が望ましい。,8
07016,乾燥いちじくはフィシン・ソラレン等により犬に有害で避けるべき。,1
06237,パクチョイの葉は栄養価が高く犬に安全な葉物でレシピ素材として適している。,8
10030,生のアラスカめぬけは海水魚の生食であり、加熱が望ましいが比較的扱いやすい魚種。,7
07094,缶詰のなつみかん（ヘビーシラップ）は果肉自体は安全だが糖分が高く加工品としての注意が必要。,7
06231,のざわな漬物は塩漬け・調味済みで塩分や調味料が強く、使用は少量に限るべき。,5
06109,生ずいき（里芋茎類）は生の状態で喉や消化管を刺激する成分があり、加熱処理が必要。,4
06042,塩漬けかぶは加工品で塩分が高めだが原料自体は安全、使用量に注意すれば利用可能。,5
13041,乳製品の加工品でカルシウムや脂質源として利用できるが加工度が高い,7
01094,玄米の五分がゆは消化しやすい炭水化物源でレシピ素材として適する,8
13046,乳成分入りの冷菓で糖分・加工度が高く素材としてはやや不適切,5
05041,焙煎したあまにはオメガ3や食物繊維を含む安全な種子類で利用しやすい,8
15166,小豆餡を含む和菓子で糖分・加工成分が多く素材としては制限が必要,5
06268,ゆでたほうれんそうはビタミン・ミネラル供給に適した野菜素材,7
13049,乳成分入りのシャーベットは冷菓で糖分・加工が多く素材としてはやや不適,5
16061,植物の浸出液で成分により影響が異なるため注意が必要な素材,5
17051,カレールウは香辛料や複合調味料を含み刺激や不適成分を含む可能性が高い,3
06170,唐辛子の油炒めは辛味が強く消化器刺激があるため注意が必要,3
10418,生のするめいかは生食による寄生虫・消化器リスクがあるため生では減点,5
15068,らくがんは米粉・砂糖を主体とした菓子で栄養的に限定的な素材,5
15066,らくがんは乾菓子で糖質主体のため素材としては限定的,5
06322,生わさびは強い刺激性があり消化器を刺激する可能性が高い,3
11038,焼いた牛リブロースは良質な加熱済みタンパク源でレシピ素材に適する,9
06121,ゆでぜんまいは加熱処理済みの山菜で調理して使える素材,7
02049,蒸したむらさきいもは消化しやすい良質な炭水化物源で適している,9
08053,乾しいたけの甘煮はしいたけ自体は可食だが甘煮は加工・糖分が多い,6
17038,チリソースは辛味と複合調味料成分が強く犬には刺激が強い,3
11220,生の鶏むね肉はサルモネラ等の生食リスクがあるため生では減点,5
04088,豆腐は良質な植物性タンパク源で犬のレシピ素材として適切,8
01205,小麦食パンは炭水化物源として問題なく適量で利用可能,7
17126,即席すまし汁は調味料・加工成分が多く素材としてはやや不向き,5
09029,とさかのりは海藻類でミネラル源として利用できる（塩抜き済み）,8
06352,葉ねぎはネギ属で溶血性貧血を引き起こす成分があり犬に危険,1
15051,小麦粉せんべいは加工度が高いおやつ系で栄養価は限定される,6
10141,すじこ（魚卵）は良質な動物性タンパク・脂質源だが塩分に注意,7
18046,中華ちまきは複合調理済み食品で調味料や油が多く素材としては限定的,4
01055,ゆでた沖縄そばは消化しやすい炭水化物源として利用可能,8
10434,蒸しサーモンは良質なタンパク質とオメガ3を含む優れた素材,10
15094,ソーダクラッカーは加工菓子で栄養価は限定されるが少量なら可,6
01201,即席カップめんは油や調味料が多い複合加工食品で素材向きではない,3
02023,長いも（生）は消化に問題が出にくく食感のある野菜素材として可,7
02055,ヤーコン水煮は調理済みの根菜で食物繊維源として利用可能,8
06145,白菜（たいさい）葉はビタミン・食物繊維を含む安全な野菜素材,8
01020,強力粉は調理して用いる製菓・製パン素材として利用可能,8
11295,生の鹿肉は赤肉としてタンパク源になり得るが生食ゆえのリスクに注意,7
05033,松の実（いり）は脂質が高めだがナッツ類として少量なら利用可能,7
01159,米粉パンは小麦を避けたい場合の炭水化物源として適切,8
09049,粉寒天（てんぐさ由来）はゲル化剤として安全に利用できる素材,9
09010,塩抜き済みの海藻で、海藻類は良質なミネラル源として犬の素材に適する,8
06370,トマト類の乾燥品は果肉由来で一般に安全だが風味が濃縮される点に注意,7
15011,和生菓子の加熱加工品で糖分や加工度が高いため素材としてはやや限定的,5
15104,揚げ加工・調味加工されたスナックで脂質・塩分が高く加工度が大きい,4
04024,加熱済みの全粒ゆで大豆は良質なたんぱく・食物繊維源で利用しやすい,8
02063,生のじゃがいもはソラニンを含む可能性があり生食は避けるべき,3
05025,ひし（生）は一般に可食部がある植物性素材で、加工して提供すれば利用可能,7
10162,開き干しの魚加工品は魚由来の良質なたんぱくだが加工・塩分に留意,8
07145,ライム果汁は酸性が強く胃腸刺激の恐れがあるため注意が必要,4
06037,ゆでたかぶの根は消化しやすい野菜で犬の素材として適している,8
11243,生のすっぽん肉は細菌や寄生虫のリスクがあるため生は注意が必要,5
15157,生八つ橋は加糖・加工度の高い和菓子で素材としては限定的,5
03013,転化型液糖は糖類の原料で糖分が多く、甘味料としての用途に限られる,5
03027,異性化液糖も高果糖性の糖類で甘味料として使用される原料にとどまる,5
06008,ゆでたアスパラガスは消化しやすい野菜で犬のレシピ素材として適する,8
07112,生のひゅうがなつは柑橘類でアルベド等に香気成分があり胃腸刺激や苦味に注意,4
17087,だし入り醤油は調味料で風味付けに使えるが塩分を含む点に注意,5
11307,焼いたウインナーは加熱済みの畜肉加工品だが加工度・添加物の点で調整が必要,6
02051,水煮のセレベス（里芋類）は加熱済みでデンプン質の良い素材として使える,8
08032,ゆでマッシュルームは加熱済みの安全なきのこ類で犬のレシピ素材として適する,8
11182,加工した豚の生ハムはタンパク源だが塩分や加工度が高い点に留意が必要,6
10352,生のイカは寄生虫や消化酵素リスクがあるため加熱が望ましい,5
07036,みかん缶詰の果肉は与えられるが、シロップは糖分が高い点に注意,7
10443,加熱したサーモンは良質なタンパク質と必須脂肪酸の供給源として適切,9
06179,クリームスタイルの缶詰コーンは加工・乳成分や塩分を含むため調整が必要,6
05048,ゆでてあるため消化しやすく、野菜素材として利用できる,8
10071,生の海水魚でも寄生虫や細菌リスクがあるため加熱が推奨される,6
16030,アルコール含有で犬に有害（中枢抑制などのリスク）,1
11058,牛肉は良質なタンパク源だが生肉は細菌リスクがある点に注意,7
10435,電子レンジ調理されたサーモンは調理済みで栄養価が高く適している,9
15182,デニッシュは高脂肪・高糖質の加工菓子で常用には適さない,5
06390,つるにんじんの根は栄養がある根菜だが生のままでは消化性を考慮する必要がある,7
06073,ゆでた水菜は消化しやすい葉物野菜で利用しやすい,8
10164,水煮のさば缶は加熱済みの良好なタンパク源で利用しやすい,9
11245,羊肉はタンパク源として適するが生肉は細菌リスクがある点に注意,7
11135,生の豚肉は寄生虫や細菌リスクがあり、加熱が必要,5
11242,生のカエル肉は寄生虫・病原体のリスクがあるため加熱推奨,5
14014,落花生油は良い脂質源だが高脂肪でカロリーが高い点に注意,8
10386,さつま揚げは魚由来のタンパク質だが加工・調味料を含む点に留意,6
03023,メープルシロップは毒性はないが糖分が高く常用は望ましくない,6
10284,缶詰の加熱済み貝類で良質なタンパク質・ミネラル源。味付けの塩分量に注意して使用可能。,8
06252,生の葉茎類で一般的に犬に安全な野菜。ビタミンや食物繊維が豊富で素材として適している。,7
05044,ピーナッツは高脂肪でアレルギーや膵炎リスクがあるため使用は慎重に、少量向け。,5
01134,とうもろこし由来の炭水化物で消化性が良くレシピ素材として使いやすい。,9
15095,ビスケット類は砂糖や脂肪を多く含む加工食品で高カロリーなため多用は不向き。,5
04113,絹揚げなど加熱済みの大豆加工品は良質な植物性タンパク源として使用可能。,8
15138,カスタードクリームは乳製品・卵・糖分を含む加工食品で脂肪と糖が高く限定使用が望ましい。,5
17096,卵由来の成分や調味成分を含む調味料で、塩分や脂肪の含有に注意して使用する必要がある。,5
09008,素干しの海藻でミネラルや食物繊維が豊富。ヨウ素含有量に配慮すれば利用可能。,8
01097,精白米は消化性の良い炭水化物で犬のレシピに適したエネルギー源。,10
01135,フライ・味付けされたスナックで高脂肪・高塩分の加工食品のため原料としては不向き。,4
06395,電子レンジ調理のブロッコリーは加熱済みの野菜でビタミンや食物繊維が豊富。,9
06348,グラッセしたにんじんは加熱済みで栄養はあるが糖分（グレーズ）に注意が必要。,8
10454,焼きのまぐろ赤身は高品質な動物性タンパク源。使用可能だが大型魚由来の蓄積物に注意。,9
04009,煮豆のいんげん豆は加熱済みで植物性たんぱく源として利用できるが消化性に配慮。,7
06197,こうじ漬けなどの漬物は塩分が高く、犬の素材としては使用を控えめにすべき。,4
11146,生の豚肉は寄生虫や細菌のリスクがあるため、生肉素材としては注意が必要。,5
06381,冷凍の油いためにんじんは加熱済みで使用可能だが油分（脂質）に配慮する必要がある。,8
06327,油いためのアスパラガスは加熱済みの野菜で栄養面は良好。油分量に注意して使用可能。,8
11273,焼きの牛舌は加熱済みの良質な動物性タンパク源でレシピ素材として適している。,9
11120,生の豚肉はトリヒナや細菌などの寄生虫・食中毒リスクがあるため生食は避けるべき,5
07155,レモンは果皮や種に刺激性のある成分が含まれるため、全果の生は注意が必要,3
06410,九条ねぎはネギ類で犬にとって溶血性貧血を引き起こす有害成分が含まれるため禁止,1
07066,グレープフルーツ含有の飲料は柑橘由来の刺激成分があり過剰には注意が必要（果汁は限定的に扱う）,5
11248,焼き牛肉は良質なタンパク源で調理済みのため犬の素材として適している,9
06346,にんじんは犬に安全な野菜だが素揚げなど油で調理されているため調理法に注意が必要,7
14008,なたね油は安定した植物油でエネルギー源・脂質供給として利用しやすい,9
01041,干しうどん（小麦）は炭水化物源として使える一般的な素材,8
15130,クリームパンは糖分や脂肪を含む加工程度の高い菓子類で素材としては慎重な扱いが必要,5
11297,焼き横隔膜（はらみ）は調理済みの赤身部位で良質なタンパク源として適している,9
10042,生のいわしは寄生虫や細菌リスクがあるため生食は注意が必要,5
01190,ゆでた即席中華めんは調理済みの穀物素材で添付調味料がなければ使用しやすい,8
18004,コーンクリームスープ粉末は加工程度が高く添加物や塩分に注意が必要な加工原料,5
09044,乾燥わかめは海藻としてミネラル供給源になり得るがヨウ素量に留意する必要がある,8
10171,生のさわらは海水魚でも生食だと寄生虫・細菌リスクがあるため生は注意が必要,6
02067,フライドポテトは油で揚げた加工食品で脂質や調理法に注意が必要な素材,5
04058,繊維状大豆たんぱくは加熱・加工された植物性たんぱく源として利用可能,7
02007,蒸しさつまいもは加熱済みの安全な炭水化物・食物繊維源として適している,9
07170,ナタデココは甘味のある加工食品で糖分や添加物に注意が必要なデザート系素材,5
01072,小麦たんぱく（粒状）は植物性たんぱく源として利用可能だが加工品である点に注意,7
17105,調味料のソース類で塩分や脂肪が高く、素材としては使用に注意が必要。,5
01030,小麦由来の乾パンは炭水化物源として利用可能だが主原料には向かない。,7
01117,もち状で粘着性があり窒息や消化不良のリスクがあるため慎重に扱う必要がある。,4
06013,ウドの茎は野菜として与えやすく、調理して使えば問題なく利用できる。,8
05012,甘露煮の栗は糖分の多い加工品で少量なら利用可能だが与え過ぎに注意。,6
15039,水ようかんは糖分の高い和菓子で、頻繁には適さないが少量なら問題ない。,5
07162,柑橘類の果肉は与えられるが酸味が強く少量が望ましい（皮や種は除去）。,7
15103,ポテトチップスは高脂肪・高塩分のスナックで頻用は不適切、少量でのみ。,4
11264,ゆでた牛ももは良質な加熱済みタンパク源で素材として適している。,10
04021,煮たそらまめは栄養源になるが豆類は消化に負担がかかる場合がある。,6
10465,まぐろ自体は良質な蛋白だが天ぷらなど揚げ物は脂分が高く注意が必要。,6
01145,乾の即席中華めんは炭水化物源として使用可能だが調理して与えるのが望ましい。,7
02027,生の山芋は消化に負担や刺激の可能性があり、加熱・少量での使用が望ましい。,5
11073,生の牛肉は栄養的に良いが生食による細菌リスクがあるため扱いに注意が必要。,7
05028,ブラジルナッツなどナッツ類は脂質や特定成分により消化不良や過剰摂取の懸念がある。,4
01038,生のうどんは調理前で消化しにくく、加熱してから与えるのが適切である。,5
06046,生のかぼちゃは栄養豊富で利用可能だが加熱した方が消化に良い。,7
18009,冷凍のえびフライ用はえび自体は利用可能だが殻や調理法（揚げ物）に注意が必要。,7
17093,顆粒中華だしは調味料で塩分や香辛料が含まれるため使用量に注意が必要。,5
16057,スポーツドリンクは糖分・電解質を含む飲料で常飲は適さず与える場合は注意が必要。,4
11285,生の鶏肉はサルモネラやカンピロバクターなどの細菌リスクがあり注意が必要,5
10461,蒸したまぐろの脂身は良質なタンパク質と脂肪酸が豊富で利用しやすい,9
11148,生の豚肉はトリヒナや細菌のリスクがあるため加熱が望ましい,5
10224,塩蔵戻しのにしんは蛋白源として使えるが塩分や加工に注意が必要,6
16021,アルコール飲料は犬にとって毒性があり与えてはならない,1
05035,煎り落花生は脂質や消化不良、膵炎リスクに注意が必要なナッツ類,5
11155,生の豚もも肉も寄生虫・細菌のリスクがあるため加熱が推奨される,5
07178,ぶどうは少量でも腎障害を引き起こす可能性があり与えてはならない,1
06116,生のズッキーニは低脂肪で消化に良い野菜として安全に使える,8
04056,濃縮大豆たんぱくは植物性の良質なたんぱく源だが個体差で注意が必要,7
06266,ゆでたへちまは消化しやすい水分多めの野菜として安全,8
16035,抹茶（緑茶）はカフェイン等の刺激成分を含み犬に有害となる可能性がある,1
04004,あんこ（こし生あん）は糖分を含む加工食品で少量なら扱えるが多量は望ましくない,6
06380,ゆでたにんじんはビタミンや食物繊維が豊富で犬に適した素材,9
06247,生の赤ピーマンはビタミン豊富で犬に与えやすい野菜の一つ,8
06296,ゆりねは食用のりん茎で利用可能だが生のままは胃腸刺激の恐れがあり注意が必要,7
10275,生のやまめは河川魚のため寄生虫リスクがあり加熱が望ましい,5
04079,いり大豆（黒大豆）は植物性たんぱくで利用可能だが消化性に差がある,7
11149,生の豚ロースは寄生虫・細菌リスクがあり加熱して使うのが安全,5
