food_number,food_name,embedding_text
01016,こむぎ　［小麦粉］　薄力粉　2等,2等 all all-purpose all-purpose flour flour purpose こむぎ こむぎこ ちゅうりきこ コムギ コムギコ チュウリキコ 中力粉 小麦 小麦粉 薄力粉
01018,こむぎ　［小麦粉］　中力粉　1等,1等 all all-purpose all-purpose flour flour purpose こむぎ こむぎこ ちゅうりきこ コムギ コムギコ チュウリキコ 中力粉 小麦 小麦粉
01019,こむぎ　［小麦粉］　中力粉　2等,2等 all-purpose all-purpose flour bread flour きょうりきこ こむぎ こむぎこ キョウリキコ コムギ コムギコ 中力粉 小麦 小麦粉 強力粉
01020,こむぎ　［小麦粉］　強力粉　1等,1等 bread bread flour flour きょうりきこ こむぎ こむぎこ キョウリキコ コムギ コムギコ 小麦 小麦粉 強力粉
01021,こむぎ　［小麦粉］　強力粉　2等,2等 bread bread flour flour きょうりきこ こむぎ こむぎこ キョウリキコ コムギコ 小麦 小麦粉 強力粉
01023,こむぎ　［小麦粉］　強力粉　全粒粉,bread bread flour flour wheat wheat bread whole whole wheat きょうりきこ こむぎ こむぎこ ぜんりゅうふん キョウリキコ コムギコ ゼンリュウフン 全粒粉 小麦 小麦粉 強力粉
01026,こむぎ　［パン類］　角形食パン　食パン,bread shokupan こむぎ しょくぱん ショクパン パン パン類 角形食パン 角食 食パン
01174,こむぎ　［パン類］　角形食パン　焼き,bread shokupan こむぎ しょくぱん ショクパン パン パン類 焼き 角形食パン 角食 食パン
01030,こむぎ　［パン類］　乾パン,kanpan かんぱん こむぎ カンパン パン類 乾パン
01031,こむぎ　［パン類］　フランスパン,baguette bread こむぎ ふらんすぱん バゲット パン パン類 フランスパン
01037,こむぎ　［パン類］　ナン,naan nan こむぎ なん インドパン ナン パン パン類
01039,こむぎ　［うどん・そうめん類］　うどん　ゆで,udon うどん こむぎ そうめん類 めん ゆで ウドン 麺
01186,こむぎ　［うどん・そうめん類］　うどん　半生うどん,udon うどん こむぎ そうめん類 めん ウドン 半生うどん 麺
01041,こむぎ　［うどん・そうめん類］　干しうどん　乾,dried dried udon udon うどん こむぎ そうめん類 めん ウドン 乾 干しうどん 麺
01042,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,dried dried udon udon うどん こむぎ そうめん類 めん ゆで ウドン 干しうどん 麺
01043,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,hiyamugi soman うどん こむぎ そうめん そうめん類 ひやむぎ 乾 冷麦 素麺 麺
01044,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,hiyamugi soman うどん こむぎ そうめん そうめん類 ひやむぎ ゆで 冷麦 素麺 麺
01045,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,hand-stretched hand-stretched soman hiyamugi soman うどん こむぎ そうめん そうめん類 ひやむぎ 乾 手延そうめん 手延ひやむぎ
01046,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,hand-stretched hand-stretched soman hiyamugi soman うどん こむぎ そうめん そうめん類 ひやむぎ ゆで 手延そうめん 手延ひやむぎ
01047,こむぎ　［中華めん類］　中華めん　生,noodle raman raman noodle こむぎ ちゅうかめん チュウカメン ラーメン 中華めん 中華めん類 中華麺 生 麺
01050,こむぎ　［中華めん類］　干し中華めん　乾,noodle raman raman noodle こむぎ ラーメン 中華そば 中華めん 中華めん類 中華麺 乾 干し中華めん 麺
01051,こむぎ　［中華めん類］　干し中華めん　ゆで,noodle raman raman noodle こむぎ ゆで ラーメン 中華そば 中華めん 中華めん類 中華麺 干し中華めん 麺
01190,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,instant instant noodle noodle raman こむぎ ゆで インスタント インスタントラーメン インスタント麺 即席めん 即席めん類 即席ラーメン 即席中華めん 添付調味料等を含まないもの 袋麺 非油揚げ
01063,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,macaroni pasta spaghetti こむぎ スパゲッティ スパゲッティ類 パスタ マカロニ 乾
01064,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,macaroni pasta spaghetti wheat こむぎ ぱすた まかろに ゆで コムギ スパゲッティ スパゲッティ類 スパゲティ パスタ マカロニ 小麦
01149,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,fresh fresh pasta pasta wheat こむぎ ぱすた コムギ スパゲッティ類 パスタ パスタ製品 マカロニ 小麦 生 生パスタ 生パスタは除外のためパスタのみ表示しています
01066,こむぎ　［ふ類］　焼きふ　釜焼きふ,fu kama-fu wheat かまふ こむぎ ふ ふ類 コムギ フ 小麦 焼きふ 釜焼きふ 釜麩 麩
01067,こむぎ　［ふ類］　焼きふ　板ふ,fu ita-fu wheat いたふ こむぎ ふ ふ類 コムギ フ 小麦 板ふ 板麩 焼きふ 麩
01068,こむぎ　［ふ類］　焼きふ　車ふ,fu kuruma-fu wheat くるまふ こむぎ ふ ふ類 コムギ フ 小麦 焼きふ 車ふ 車麩 麩
01071,こむぎ　［その他］　小麦たんぱく　粉末状,gluten protein wheat wheat protein こむぎ こむぎたんぱく その他 グルテン コムギ コムギタンパク 小麦 小麦たんぱく 小麦グルテン 粉末状
01074,こむぎ　［その他］　ぎょうざの皮　生,dumpling gyoza gyoza wrapper wheat wrapper ぎょうざのかわ ぎょうざの皮 こむぎ その他 ギョウザの皮 コムギ 小麦 生 餃子の皮
01179,こむぎ　［その他］　春巻きの皮　生,roll roll wrapper spring spring roll wheat wrapper こむぎ その他 はるまきのかわ コムギ 小麦 春巻きの皮 春巻の皮 生
01077,こむぎ　［その他］　パン粉　生,breadcrumb wheat こむぎ その他 ぱんこ コムギ パンくず パン屑 パン粉 小麦 生
01078,こむぎ　［その他］　パン粉　半生,breadcrumb wheat こむぎ その他 ぱんこ コムギ パンくず パン屑 パン粉 半生 小麦
01150,こむぎ　［その他］　冷めん　生,cold cold noodle naengmyeon noodle reiman rice こむぎ こめ その他 れいめん コメ 冷めん 冷麺 生 米
01080,こめ　［水稲穀粒］　玄米,brown brown rice genmai rice げんまい こめ コメ 水稲穀粒 玄米 米
01081,こめ　［水稲穀粒］　半つき米,half-milled half-milled rice rice こめ コメ 半つき米 水稲穀粒 米
01082,こめ　［水稲穀粒］　七分つき米,70% 70% polished polished polished rice rice こめ コメ 七分つき米 水稲穀粒 米
01083,こめ　［水稲穀粒］　精白米　うるち米,glutinous non rice uruchimai white white rice うるちごめ うるち米 こめ コメ 水稲穀粒 白米 米 精白米
01151,こめ　［水稲穀粒］　精白米　もち米,glutinous glutinous rice mochi rice sticky こめ もちごめ もち米 コメ 水稲穀粒 米 精白米
01152,こめ　［水稲穀粒］　精白米　インディカ米,indica indica rice rice こめ インディカ インディカ米 コメ 水稲穀粒 米 精白米
01084,こめ　［水稲穀粒］　はいが精米,germ germ rice rice こめ はいがまい はいが精米 コメ 水稲穀粒 米 胚芽 胚芽米
01153,こめ　［水稲穀粒］　発芽玄米,brown brown rice genmai germinated hatsuga rice sprouted sprouted brown こめ はつがげんまい コメ 水稲穀粒 発芽玄米 米
01181,こめ　［水稲穀粒］　赤米,red red rice rice あかまい こめ コメ 水稲穀粒 米 赤米
01182,こめ　［水稲穀粒］　黒米,black black rice rice お米 くろまい こめ クロマイ 水稲穀粒 米 黒米
01085,こめ　［水稲めし］　玄米,brown brown rice cooked cooked brown rice お米 げんまい こめ ゲンマイ 水稲めし 玄米 玄米ご飯 米
01086,こめ　［水稲めし］　半つき米,cooked cooked semi-milled rice semi-milled semi-milled rice お米 こめ 半つき米 半つき米ご飯 水稲めし 米
01087,こめ　［水稲めし］　七分つき米,70%‑polished 70%‑polished rice cooked cooked 70%‑polished rice お米 こめ 七分つき米 七分つき米ご飯 水稲めし 米
01168,こめ　［水稲めし］　精白米　インディカ米,cooked cooked indica indica indica rice rice こめ はくまい インディカ インディカ米 インディカ米ご飯 ハクマイ 水稲めし 白米 米 精白米
01088,こめ　［水稲めし］　精白米　うるち米,cooked cooked white glutinous non rice white white rice うるち うるち米 こめ はくまい ウルチ米 ハクマイ 水稲めし 白ご飯 白米 米 精白米
01154,こめ　［水稲めし］　精白米　もち米,cooked cooked glutinous glutinous glutinous sticky rice sticky sticky rice sweet お米 こめ もちごめ もち米 もち米ご飯 モチゴメ モチ米 水稲めし 米 精白米
01089,こめ　［水稲めし］　はいが精米,cooked cooked germ germ germ rice rice お米 こめ はいがまい はいが精米 ハイガマイ 水稲めし 米 胚芽米 胚芽米ご飯
01155,こめ　［水稲めし］　発芽玄米,brown brown rice cooked cooked sprouted rice sprouted sprouted brown げんまい こめ はつがげんまい ゲンマイ ハツガゲンマイ 水稲めし 玄米 発芽玄米 発芽玄米ご飯 米
01183,こめ　［水稲めし］　赤米,cooked cooked red red red rice rice あかまい お米 こめ アカマイ 水稲めし 米 赤米 赤米ご飯
01184,こめ　［水稲めし］　黒米,black black rice cooked cooked black rice お米 くろまい こめ クロマイ 水稲めし 米 黒米 黒米ご飯
01185,こめ　［水稲軟めし］　精白米,cooked cooked white rice white white rice お米 こめ はくまい ハクマイ 水稲軟めし 白ご飯 白米 米 精白米
01090,こめ　［水稲全かゆ］　玄米,brown brown rice porridge rice rice porridge お米 げんまい こめ ゲンマイ 水稲全かゆ 玄米 玄米粥 米
01091,こめ　［水稲全かゆ］　半つき米,porridge rice rice porridge semi-milled semi-milled rice お米 こめ 半つき米 半つき米粥 水稲全かゆ 米
01092,こめ　［水稲全かゆ］　七分つき米,70%‑polished 70%‑polished rice porridge rice rice porridge お米 こめ 七分つき米 七分つき米粥 水稲全かゆ 米
01093,こめ　［水稲全かゆ］　精白米,porridge rice rice porridge white white rice お米 こめ はくまい ハクマイ 水稲全かゆ 白米 白米粥 米 精白米
01094,こめ　［水稲五分かゆ］　玄米,brown brown rice porridge rice rice porridge お米 げんまい こめ ゲンマイ 水稲五分かゆ 玄米 玄米粥 米
01095,こめ　［水稲五分かゆ］　半つき米,porridge rice rice porridge semi-milled semi-milled rice お米 こめ 半つき米 半つき米粥 水稲五分かゆ 米
01096,こめ　［水稲五分かゆ］　七分つき米,70%‑polished 70%‑polished rice porridge rice rice porridge お米 こめ 七分つき米 七分つき米粥 水稲五分かゆ 米
01097,こめ　［水稲五分かゆ］　精白米,porridge rice rice porridge white white rice お米 こめ はくまい ハクマイ 水稲五分かゆ 白米 白米粥 米 精白米
01098,こめ　［水稲おもゆ］　玄米,brown porridge rice rice porridge おかゆ おもゆ かゆ げんまい こめ コメ 水稲おもゆ 玄米 米
01099,こめ　［水稲おもゆ］　半つき米,porridge rice rice porridge おかゆ おもゆ かゆ こめ コメ 半つき米 水稲おもゆ 米
01100,こめ　［水稲おもゆ］　七分つき米,porridge rice rice porridge おかゆ おもゆ かゆ こめ コメ 七分つき米 水稲おもゆ 米
01101,こめ　［水稲おもゆ］　精白米,porridge rice rice porridge white おかゆ かゆ こめ はくまい コメ 水稲おもゆ 白米 米 精白米
01102,こめ　［陸稲穀粒］　玄米,brown brown rice rice げんまい こめ コメ 玄米 米 陸稲穀粒
01103,こめ　［陸稲穀粒］　半つき米,rice semi-polished semi-polished rice こめ コメ 半つき米 米 陸稲穀粒
01104,こめ　［陸稲穀粒］　七分つき米,partially partially polished polished polished rice rice こめ コメ 七分つき米 米 陸稲穀粒
01105,こめ　［陸稲穀粒］　精白米,rice white white rice こめ はくまい コメ 白米 米 精白米 陸稲穀粒
01106,こめ　［陸稲めし］　玄米,brown brown rice cooked rice rice cooked げんまい こめ ごはん ご飯 めし コメ 玄米 玄米ご飯 米 陸稲めし 飯
01107,こめ　［陸稲めし］　半つき米,cooked rice rice cooked semi-polished semi-polished rice こめ ごはん ご飯 めし コメ 半つき米 半つき米ご飯 米 陸稲めし 飯
01108,こめ　［陸稲めし］　七分つき米,cooked partially partially polished polished polished rice rice rice cooked こめ ごはん ご飯 めし コメ 七分つき米 七分つき米ご飯 米 陸稲めし 飯
01109,こめ　［陸稲めし］　精白米,cooked rice rice cooked white white rice こめ ごはん ご飯 はくまい めし コメ 白ご飯 白米 米 精白米 陸稲めし 飯
01110,こめ　［うるち米製品］　アルファ化米　一般用,instant instant rice rice うるち米製品 こめ アルファカマイ アルファ化米 アルファ米 インスタントライス コメ 一般用 米
01156,こめ　［うるち米製品］　アルファ化米　学校給食用強化品,instant instant rice rice うるち米製品 こめ アルファカマイ アルファ化米 アルファ米 インスタントライス コメ 学校給食用強化品 米
01214,こめ　［うるち米製品］　水稲全かゆ　レトルト　玄米,brown porridge ready-to-eat ready-to-eat rice rice rice porridge うるち米製品 おかゆ かゆ げんまい こめ コメ レトルト レトルトおかゆ 水稲全かゆ 玄米 米
01215,こめ　［うるち米製品］　水稲全かゆ　レトルト　精白米,porridge ready-to-eat ready-to-eat rice rice rice porridge white うるち米製品 おかゆ かゆ こめ はくまい コメ レトルト レトルトおかゆ 水稲全かゆ 白米 米 精白米
01111,こめ　［うるち米製品］　おにぎり,ball rice rice ball うるち米製品 おにぎり おにぎり弁当 おむすび こめ ごはん ご飯 米
01113,こめ　［うるち米製品］　きりたんぽ,kiritanpo rice stick うるち米製品 きりたんぽ こめ ごはん ご飯 キリタンポ 米
01114,こめ　［うるち米製品］　上新粉,flour powder rice rice flour うるち米製品 こめ こめこ じょうしんこ コメコ ジョウシンコ 上新粉 米粉
01157,こめ　［うるち米製品］　玄米粉,brown brown rice flour rice rice flour うるち米製品 げんまいこ こめ こめこ ゲンマイコ 玄米粉 米粉
01158,こめ　［うるち米製品］　米粉,flour rice rice flour うるち米製品 こめ こめこ コメ コメコ 米 米粉
01212,こめ　［うるち米製品］　米粉パン　ロールパン,bread bread roll rice roll うるち米製品 こめ こめこパン コメ コメコパン ロールパン 米 米粉パン
01160,こめ　［うるち米製品］　米粉めん,noodle rice rice noodle うるち米製品 こめ コメ ライスヌードル 米 米粉めん 米粉麺
01115,こめ　［うるち米製品］　ビーフン,noodle rice rice vermicelli vermicelli うるち米製品 こめ びーふん コメ ビーフン 米
01169,こめ　［うるち米製品］　ライスペーパー,paper rice rice paper うるち米製品 こめ コメ ライスペーパー 米
01116,こめ　［うるち米製品］　米こうじ,koji rice rice koji うるち米製品 こうじ こめ こめこうじ コメ コメコウジ 米 米こうじ 米麹 麹
01120,こめ　［もち米製品］　白玉粉,flour glutinous glutinous rice rice rice flour shiratamako こめ しらたまこ もち米製品 コメ シラタマコ 白玉粉 米
01121,こめ　［もち米製品］　道明寺粉,domyoji domyoji flour flour ko rice こめ どうみょうじこ もち米製品 コメ ドウミョウジコ 米 道明寺粉
01122,そば　そば粉　全層粉,buckwheat buckwheat flour flour soba そば そばこ そば粉 ソバ 全層粉 蕎麦 蕎麦粉
01123,そば　そば粉　内層粉,buckwheat buckwheat flour flour soba そば そばこ そば粉 ソバ 内層粉 蕎麦 蕎麦粉
01124,そば　そば粉　中層粉,buckwheat buckwheat flour flour soba そば そばこ そば粉 ソバ 中層粉 蕎麦 蕎麦粉
01125,そば　そば粉　表層粉,buckwheat buckwheat flour flour soba そば そばこ そば粉 ソバ 蕎麦 蕎麦粉 表層粉
01126,そば　そば米,buckwheat buckwheat groat groat kernel soba そば そばの実 そば米 ソバ 蕎麦 蕎麦米
01127,そば　そば　生,buckwheat noodle soba soba noodle そば そば麺 ソバ 生 蕎麦 蕎麦麺
01128,そば　そば　ゆで,buckwheat noodle soba soba noodle そば そば麺 ゆで ソバ 蕎麦 蕎麦麺
01129,そば　干しそば　乾,dried noodle soba soba noodle そば ほしそば ソバ 乾 乾麺 干しそば 蕎麦
01130,そば　干しそば　ゆで,dried noodle soba soba noodle そば ほしそば ゆで ソバ 乾麺 干しそば 蕎麦
01131,とうもろこし　玄穀　黄色種,corn とうもろこし コーン スイートコーン トウモロコシ 玄穀 玉蜀黍 粒 黄色種
01162,とうもろこし　玄穀　白色種,corn とうもろこし コーン スイートコーン トウモロコシ 玄穀 玉蜀黍 白色種 粒
01132,とうもろこし　コーンミール　黄色種,corn cornmeal とうもろこし とうもろこし粉 コーン コーンミール コーン粉 トウモロコシ 玉蜀黍 黄色種
01163,とうもろこし　コーンミール　白色種,corn cornmeal maize とうもろこし コーン コーンミール トウモロコシ 白色種
01133,とうもろこし　コーングリッツ　黄色種,corn corn grit grit maize とうもろこし コーン コーングリッツ トウモロコシ 黄色種
01164,とうもろこし　コーングリッツ　白色種,corn corn grit grit maize とうもろこし コーン コーングリッツ トウモロコシ 白色種
01134,とうもろこし　コーンフラワー　黄色種,corn corn flour flour maize とうもろこし コーン コーンフラワー トウモロコシ 黄色種
01136,とうもろこし　ポップコーン,corn popcorn とうもろこし コーン トウモロコシ ポップコーン ポップコーン用
01138,はとむぎ　精白粒,adlay coix job job' job' tear seed tear はとむぎ はと麦 ハトムギ ハト麦 ヨクイニン 精白粒
01139,ひえ　精白粒,millet ひえ ヒエ 稗 精白粒
01140,もろこし　玄穀,corn sorghum とうもろこし もろこし コーン トウモロコシ モロコシ 玄穀
01141,もろこし　精白粒,corn sorghum とうもろこし もろこし コーン トウモロコシ モロコシ 精白粒
01142,ライむぎ　全粒粉,rye wholemeal ライむぎ ライムギ ライ麦 全粒粉
02068,＜いも類＞　アメリカほどいも　塊根　生,american american groundnut apio apio american groundnut あめりかほどいも いも類 ほどいも アメリカほどいも ホドイモ 塊根 生
02069,＜いも類＞　アメリカほどいも　塊根　ゆで,american american groundnut apio apio american groundnut あめりかほどいも いも類 ほどいも ゆで アメリカほどいも ホドイモ 塊根
02001,＜いも類＞　きくいも　塊茎　生,artichoke jerusalem jerusalem artichoke sunchoke いも類 きくいも キクイモ 塊茎 生 菊芋
02002,＜いも類＞　こんにゃく　精粉,konjac konjac powder konnyaku powder いも類 こんにゃく こんにゃく粉 コンニャク 精粉 蒟蒻
02003,＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,block konnyaku konnyaku block いも類 こんにゃく コンニャク 板こんにゃく 板コンニャク 精粉こんにゃく 蒟蒻
02042,＜いも類＞　こんにゃく　赤こんにゃく,konnyaku red red konnyaku いも類 こんにゃく コンニャク 蒟蒻 赤こんにゃく 赤コンニャク
02044,＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,konnyaku shimi shimi konnyaku いも類 こんにゃく しみこんにゃく ゆで コンニャク 凍みこんにゃく 蒟蒻
02005,＜いも類＞　こんにゃく　しらたき,ito konnyaku shirataki いとこんにゃく いも類 こんにゃく しらたき シラタキ 白滝 糸こんにゃく
02045,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生,potato sweet sweet potato いも類 さつまいも さつまいも類 サツマイモ 塊根 生 皮つき 薩摩芋
02046,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　蒸し,potato sweet sweet potato いも類 さつまいも さつまいも類 サツマイモ 塊根 皮つき 蒸し 薩摩芋
02006,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生,potato sweet sweet potato いも いも類 さつまいも さつまいも類 サツマイモ 塊根 生 皮なし 芋 薩摩芋
02007,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　蒸し,potato sweet sweet potato いも いも類 さつまいも さつまいも類 サツマイモ 塊根 皮なし 芋 蒸し 薩摩芋
02008,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き,potato sweet sweet potato いも いも類 さつまいも さつまいも類 サツマイモ 塊根 焼き 皮なし 芋 薩摩芋
02009,＜いも類＞　（さつまいも類）　さつまいも　蒸し切干,dried dried sweet potato sweet sweet potato いも類 きりぼしイモ さつまいも さつまいも類 切干し芋 切干芋 干し芋 蒸し切干
02048,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　生,potato purple purple sweet sweet sweet potato いも類 さつまいも さつまいも類 むらさきいも サツマイモ ムラサキイモ 塊根 生 皮なし 紫芋
02049,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し,potato purple purple sweet sweet sweet potato いも類 さつまいも さつまいも類 むらさきいも サツマイモ ムラサキイモ 塊根 皮なし 紫芋 蒸し
02011,＜いも類＞　（さといも類）　さといも　球茎　水煮,satoimo taro taro satoimo いも いも類 さといも さといも類 サトイモ タロイモ 水煮 球茎 里芋
02051,＜いも類＞　（さといも類）　セレベス　球茎　水煮,celebe celebe taro taro いも類 さといも類 せれべす サトイモ セレベス セレベス芋 水煮 球茎 里芋
02053,＜いも類＞　（さといも類）　たけのこいも　球茎　水煮,takenokoimo takenokoimo taro taro いも類 さといも類 たけのこいも サトイモ タケノコイモ 水煮 球茎 筍いも 里芋
02014,＜いも類＞　（さといも類）　みずいも　球茎　水煮,mizuiimo mizuiimo taro taro いも類 さといも類 みずいも サトイモ ミズイモ 水煮 水芋 球茎 里芋
02016,＜いも類＞　（さといも類）　やつがしら　球茎　水煮,taro yatsugashira yatsugashira taro いも類 さといも類 やつがしら やつがしら芋 ヤツガシラ 八頭 水煮 球茎 里芋
02064,＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,potato いも いも類 じゃがいも ジャガイモ ポテト 塊茎 皮つき 電子レンジ調理 馬鈴薯
02019,＜いも類＞　じゃがいも　塊茎　皮なし　水煮,potato いも いも類 じゃがいも ジャガイモ ポテト 塊茎 水煮 皮なし 馬鈴薯
02018,＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,potato いも いも類 じゃがいも ジャガイモ ポテト 塊茎 皮なし 蒸し 馬鈴薯
02066,＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,potato いも いも類 じゃがいも ジャガイモ ポテト 塊茎 皮なし 電子レンジ調理 馬鈴薯
02054,＜いも類＞　ヤーコン　塊根　生,yacon いも いも類 やーこん ヤコン ヤーコン ヤーコン芋 塊根 生
02055,＜いも類＞　ヤーコン　塊根　水煮,yacon いも いも類 やーこん ヤコン ヤーコン ヤーコン芋 塊根 水煮
02022,＜いも類＞　（やまのいも類）　ながいも　いちょういも　塊根　生,nagaimo yam いちょういも いも類 ながいも やまのいも類 イチョウイモ ナガイモ 塊根 山芋 生 長芋
02023,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生,nagaimo yam いも類 ながいも やまのいも類 ナガイモ 塊根 山芋 生 長芋
02024,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　水煮,nagaimo yam いも類 ながいも やまのいも類 ナガイモ 塊根 山芋 水煮 長芋
02025,＜いも類＞　（やまのいも類）　ながいも　やまといも　塊根　生,nagaimo yam いも類 ながいも やまといも やまのいも類 ナガイモ ヤマトイモ 塊根 大和芋 山芋 生 長芋
02026,＜いも類＞　（やまのいも類）　じねんじょ　塊根　生,jinenjo wild yam いも類 じねんじょ やまのいも類 ジネンジョ 塊根 山の芋 生 自然じょ 自然薯
02070,＜でん粉・でん粉製品＞　（でん粉類）　おおうばゆりでん粉,bulb lily oobayuri oobayuri starch starch おおうばゆりでん粉 でん粉 でん粉製品 でん粉類 オオウバユリ オオウバユリでん粉
02028,＜でん粉・でん粉製品＞　（でん粉類）　キャッサバでん粉,cassava cassava starch starch tapioca でん粉 でん粉製品 でん粉類 キャッサバ キャッサバでん粉 キャッサバデンプン
02029,＜でん粉・でん粉製品＞　（でん粉類）　くずでん粉,kudzu kudzu kuzu kuzu kuzu starch starch くずでんぷん くずでん粉 でん粉 でん粉製品 でん粉類 葛でん粉
02030,＜でん粉・でん粉製品＞　（でん粉類）　米でん粉,rice rice starch starch こめでんぷん でん粉 でん粉製品 でん粉類 米でんぷん 米でん粉
02031,＜でん粉・でん粉製品＞　（でん粉類）　小麦でん粉,starch wheat wheat starch こむぎでんぷん でん粉 でん粉製品 でん粉類 小麦でんぷん 小麦でん粉
02032,＜でん粉・でん粉製品＞　（でん粉類）　サゴでん粉,sago sago starch starch でん粉 でん粉製品 でん粉類 サゴ サゴでん粉 サゴデンプン
02033,＜でん粉・でん粉製品＞　（でん粉類）　さつまいもでん粉,potato potato starch starch sweet sweet potato さつまいもでんぷん さつまいもでん粉 でん粉 でん粉製品 でん粉類 薩摩芋でん粉
02034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉,potato potato starch starch じゃがいもでんぷん じゃがいもでん粉 でん粉 でん粉製品 でん粉類 ジャガイモでん粉 片栗粉
02035,＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,corn cornstarch starch でん粉 でん粉製品 でん粉類 とうもろこしでん粉 コーンスターチ トウモロコシでん粉
02036,＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　乾,kanten kudzu kuzukiri noodle くずきり でん粉 でん粉製品 乾 葛切り
02037,＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　ゆで,kanten kudzu kuzukiri noodle くずきり でん粉 でん粉製品 ゆで 葛切り
02038,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　乾,pearl tapioca tapioca pearl でん粉 でん粉製品 タピオカ タピオカパール 乾
02057,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　ゆで,pearl tapioca tapioca pearl でん粉 でん粉製品 ゆで タピオカ タピオカパール
02059,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾,noodle starch starch noodle でんぷんめん でん粉 でん粉めん でん粉製品 乾 澱粉麺
02039,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾,bean bean vermicelli glass harusame mung mung bean noodle thread vermicelli でん粉 でん粉製品 はるさめ はるさめ緑豆 乾 春雨 緑豆はるさめ 緑豆春雨
02061,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　ゆで,bean bean vermicelli glass harusame mung mung bean noodle thread vermicelli でん粉 でん粉製品 はるさめ はるさめ緑豆 ゆで 春雨 緑豆はるさめ 緑豆春雨
