食品番号,理由,スコア
10450,良質な赤身の魚で良好なタンパク源。犬のレシピ素材として適している。,9
07104,ベリー類で有害成分は特にないが酸味が強い場合があるため一般的に使用可能。,7
17065,香辛料のこしょうは消化管を刺激することがあるため注意が必要。,3
10154,青魚の一種で良質なタンパク源だが脂が多めなため適度に使用するのが望ましい。,8
06382,グリンピース・コーン・にんじんのミックスで栄養補助として使いやすい野菜素材。,8
16038,茶類の浸出液はカフェインを含み、犬に有害となるため使用不可。,1
11286,鶏肉の部位で良質な動物性タンパク源。皮付きは脂肪が多い点に注意。,9
10239,水煮された魚でタンパク源として利用できるが骨の除去に注意。,8
06134,生の大根は消化しやすい野菜で犬の素材として適している。,8
04054,麦芽コーヒーを含む豆乳飲料はコーヒー由来のカフェインが含まれる可能性があり犬に有害。,1
01213,小麦のバンズはエネルギー源として使えるが加工食品である点に留意。,6
11234,鶏むねの皮はタンパク源だが皮下脂肪が多く脂質に注意が必要。,6
17050,即席みそは発酵食品として風味付けに使えるが塩分が高めなので量に注意。,5
04012,乾燥した青えんどうは良い植物性タンパク・繊維源で素材として利用可能。,8
15002,甘納豆はいんげん豆の菓子で砂糖が多く含まれる加工品のため使用は限定的に。,5
07075,シークヮーサー果汁は強い酸性で胃腸刺激を起こすことがあり注意が必要。,3
06188,とんぶりは種子由来の食材で調理済みなら犬にも利用できる素材。,7
06338,チンゲンサイの葉の油炒めは葉物野菜として使いやすく問題ないが油分に留意。,8
11075,牛ももは良質な赤身肉で犬のレシピ素材として非常に適している。,9
18023,松前漬けは調味済みの惣菜で塩分・調味料が強いため素材としては使用に注意が必要。,4
06309,リーキはネギ属に含まれ、赤血球を破壊する成分があり犬に有害であるため不可,1
16011,ぶどう由来の酒類はぶどう成分とアルコールを含み、犬に重大な危険を及ぼすため不可,1
15154,笹だんごは加工された和菓子で糖分や添加物が多く、素材としては不向き（加工食品扱い）,4
14031,ショートニングは加工された脂質で高エネルギーなため用途は限定されるが素材としては使用可能,6
07160,乾燥いちごの果実そのものは安全だが糖分が濃縮されているため素材としては注意が必要,7
11201,羊肉は良質な動物性タンパク源で犬のレシピ素材として適している,10
14027,ハイオレイックひまわり油は安定した植物性脂質で、良質な脂肪源として利用可能,9
16013,紹興酒はアルコール飲料であり、犬に深刻な影響を与えるため不可,1
06171,とうがらしは辛味成分で消化器や口腔を刺激しやすく、香辛料として注意が必要,3
05013,中国ぐり（栗）は調理して殻を除けば消化しやすいでん粉質の食品で素材として使用可能,7
11253,牛ヒレの焼き肉は良質な赤身タンパクで犬のレシピ素材として適している,10
10389,まあじ（あじ）は良質な魚類のタンパク源で、魚として素材に適する,9
15141,クリーム入りウエハースは高加工・高糖質の菓子で素材としては不向き,5
11237,焼き鳥缶詰は調味や保存のため加工・塩分がある加工食品で、素材としては注意が必要,6
17112,焼き鳥のたれは塩分・糖分や調味料を多く含む調味料で、素材としては慎重を要する,3
01208,全粒粉パンは穀類として利用可能だが加工食品であり用途が限られる,6
06230,のざわな漬物は塩漬けの加工品で塩分が高く、使用には注意が必要,4
10313,ほたて貝柱は良質な魚介類タンパクで犬のレシピ素材として適している,9
02044,こんにゃくは低カロリーで食物繊維が豊富な食品で、調理して適切に扱えば利用可能,7
06245,青ピーマンの果実は犬に与えて問題ない野菜で、レシピ素材として適している,8
10293,水煮の養殖かきは加熱済みの貝類で良質なタンパク源。殻を除けば素材として適切。,8
10306,生のはまぐりは加熱すれば安全な貝類のたんぱく源だが、生は衛生リスクがあるためやや控えめ。,7
10277,つくだ煮は調味済みの加工食品で塩分・糖分が濃く加工度が高いため素材としては注意が必要。,4
17018,りんご酢は風味付けの調味料として使えるが酸味が強いので少量での使用が望ましい。,6
10034,煮干しの小魚は良質な魚由来のタンパク源で犬のレシピ素材として適している。,9
15092,ウエハースは糖質や加工成分が多い菓子類で、素材としては加工度が高く向かない。,5
18010,白身フライ用の冷凍品は衣や油を含む加工食品で、犬の素材としては不向き。,3
10216,生のなまずは良質な魚のたんぱく源で、適切に処理・加熱すれば使用可能。,9
11012,和牛リブロースは良質なタンパク源で犬のレシピ素材として非常に適している。,10
10321,養殖くるまえびは良質なたんぱく源だが殻や内臓は除去する必要がある。,9
10232,みなみくろたちは魚類として利用可能だが、大型魚特有の留意点がありやや控えめ。,7
02006,皮なしのさつまいもは犬に適した消化の良い炭水化物源で素材として適切。,9
06362,サンチュは低カロリーの葉物野菜で犬のレシピ素材として適している。,8
10048,骨等を除いた水煮のまいわしは良質なたんぱく源で犬に適した素材。,9
10219,身欠きにしんは塩蔵・乾燥した加工魚で塩分が高い可能性があるため加工度を考慮。,6
06310,ルバーブの葉はシュウ酸を多く含み犬に有害となるため与えてはいけない。,1
15143,ずんだあんは大豆由来の栄養はあるが砂糖などの加工が多い和菓子素材で注意が必要。,6
06413,油いためのもやしは調理油が含まれるが野菜として利用可能な素材。,7
03031,還元麦芽糖（マルチトール）は糖アルコールで消化器症状を起こすことがあるため慎重に。,4
17088,照りしょうゆは本みりん（アルコール）や高塩分を含む調味料で犬には不適切。,2
06318,れんこんは水分とでん粉を含む消化しやすい野菜で素材として適する,8
15161,まんじゅうは砂糖や小麦を多く含む菓子類で加工度が高く素材としては限定的,4
17070,セージは香辛料・ハーブで消化器刺激の可能性があり注意が必要,3
10263,ツナ缶（油漬）は良質なタンパク源だが塩分や油分に留意すべき加工魚類,8
05003,あさ（乾）は種子類で栄養価が高く素材として利用可能,7
11059,牛ヒレ赤肉（生）は良質なタンパク源で犬のレシピ素材として理想的,10
06079,くわい（ゆで）はでんぷん質を含む野菜で加熱済みのため利用しやすい,7
07048,オロブランコは柑橘類の果肉で酸味や成分に注意が必要だが果肉は使用可能,6
11088,子牛もも肉（生）は高品質な肉類で犬のレシピ素材として適している,10
06288,だいずもやし（ゆで）は加熱済みの豆もやしで消化しやすく利用しやすい,8
03003,上白糖は加工糖類で栄養価が低いため素材としては慎重に使うべき,4
13005,低脂肪加工乳は乳製品で犬によっては乳糖不耐があるため様子を見ながら使用,6
10046,かたくちいわし（乾燥）は良いカルシウム・タンパク源だが塩分等に注意,8
10191,ちだい（生）は良質な魚肉で犬のレシピ素材として適している,9
08024,うすひらたけ（生）は栽培された食用きのこで一般に安全に使える,7
12009,乾燥全卵は良質なタンパク源で調理素材として優れている,9
17106,テンメンジャンは塩分・糖分が高い調味料で単独での使用は適さない,4
01167,キヌア玄穀は良質の穀類で栄養価が高く素材として使用可能,8
01194,即席カップめんのめんは加工度が高く添加物や香辛料を含むため素材としては不向き,3
07050,渋抜きかきは果実として与えやすく、糖分に注意すれば素材として利用可能,7
16051,昆布由来のだし成分でミネラル供給源として利用でき、犬のレシピ素材として適する,8
02022,消化に良い炭水化物源で犬に与えやすい根菜類（加熱や下処理で扱いやすい）,8
17141,塩分や濃い調味成分が含まれるため風味付けには少量に制限する必要がある,4
11055,良質な動物性たんぱく質で犬のレシピ素材として理想的,10
10241,良質なたんぱく質と健康的な脂質を含む魚類で素材として適する（骨除去が前提）,9
05011,茹で栗は炭水化物と風味の供給源として使いやすいが量に注意,7
10190,魚類として良質なたんぱく源、与える際は骨の除去が必要,9
04106,ゆで大豆は植物性たんぱく・食物繊維源として利用可能（消化量に注意）,7
07171,水分が多く低カロリーな果実でおやつ向き、種と皮は除去して与える,8
02045,消化に良いでんぷん質と食物繊維を含む安全な素材（加熱調理で与える）,9
10303,貝類は良質なたんぱく源だが加熱と殻・内臓の除去が必要,7
07057,果実として与えやすくビタミンや水分が豊富、種と皮は除去して与える,7
15079,加工度が高く脂肪・糖分が多い生地のため少量での使用が望ましい,5
04114,発酵大豆でたんぱく質や有益菌を含むが塩分に注意して用いる,7
14026,良質な植物性脂質で調理や風味付けに使いやすい脂源,9
02069,イモ類の茹で品はエネルギー源として利用可能（加熱済みで消化しやすい）,7
10344,いか類は良質なたんぱく源だが加熱と内臓除去が必要,7
15069,高糖質・加工食品で主成分が糖質のため少量利用が適切,5
06067,漬物は塩分や調味料が高いので使用は制限すべき（少量向け）,4
10090,加工された魚製品でたんぱく質は豊富だが塩分が含まれるため量に注意,6
01061,加工度が高く調味料・塩分が多い即席めんは素材としては不向き。,3
10320,良質な動物性タンパク源。殻や内臓は除去し、加熱して使用する。,9
11171,豚の副生物はタンパク源になるが、下処理と加熱が必要。,7
07043,濃縮還元のオレンジ果汁は酸味と糖が強く、使用量に注意が必要。,6
04065,ひよこまめは良好な植物性タンパク・食物繊維源で、調理して与えると適する。,7
13010,脱脂粉乳は乳由来のタンパク源だが、乳糖不耐症の個体には注意が必要。,6
07086,チェリモヤの果肉は与えられるが、種子や皮は必ず除去する。,7
06402,葉物として安全でビタミンや食物繊維の供給源。,8
18007,冷凍コロッケは加工・油脂が多い揚げ物で素材としては不向き。,3
06160,チンゲンサイの葉は野菜として適し、加熱やみじん切りで与えやすい。,8
07054,キウイの果肉は与えられるが皮は消化しにくく酸味が強いので少量推奨。,7
06354,ブロッコリースプラウトは栄養豊富な野菜で適した素材。,8
11084,牛ランプは良質な赤肉のタンパク源で理想的な素材。,10
01164,コーングリッツは加熱して消化しやすい炭水化物源として使える。,8
02026,じねんじょはでんぷん質の供給源で、加熱して与えるのが適切。,7
06335,切干し大根の油いためは調理済みで利用可能だが油や調味に注意。,6
01042,ゆでうどんは調理済みの炭水化物源で犬のレシピに使いやすい。,7
11096,第三胃（せんまい）は内臓肉として利用でき、加熱や下処理が必要。,9
11294,鹿肉は低脂肪で良質なタンパク源として犬に適している。,9
10363,あみの佃煮は塩分や調味が強い加工食品で素材としては不向き。,3
11087,子牛のばら肉は良質な動物性タンパク源でレシピ素材として適している,9
17027,固形ブイヨンは塩分や香味野菜（玉ねぎ・にんにく等）を含むことが多く犬には不適切な成分が含まれる場合がある,3
10065,いわなは良質な魚のタンパク源で犬のレシピ素材として適している,9
18001,ビーフカレーは玉ねぎ・にんにくや強い香辛料、塩分を含む複合料理で犬に有害な成分を含む可能性が高い,2
06106,しろうりは水分が多く消化しやすい野菜で素材として適している,8
15074,スポンジケーキは糖分・脂質の高い加工菓子で常用には不向きだが少量では素材使用の余地がある,5
14019,有塩発酵バターは脂質と塩分が高いため多用は避けるべきだが少量なら利用可能,6
15186,スイートチョコレートはテオブロミンとカフェインを含み犬にとって中毒性がある,1
10272,メルルーサ（ヘイク）は良質な白身魚で犬のレシピ素材として適している,9
02029,くずでん粉は消化しやすい炭水化物源で素材として問題ない,8
12014,卵白は良質なタンパク源だが生の卵白はアビジンによるビオチン阻害や食中毒のリスクがある,6
10095,塩辛は非常に塩分が高く強い風味の加工品で犬には不向き,3
10151,くん製のべにざけは良質な魚だが塩分が高く加工臭や塩分に注意が必要,6
07016,乾燥いちじくはいちじくに含まれる成分により消化器刺激やその他の有害作用が報告されている,1
06237,パクチョイの葉はビタミンや食物繊維を含む安全な葉物野菜で素材として適している,8
10030,アラスカめぬけは良質な魚の切り身で犬のレシピ素材として適している,9
07094,缶詰のなつみかん（ヘビーシロップ）は果肉自体は可食だが糖分の高いシロップ漬けである点に注意が必要,7
06231,のざわな漬物は塩分や調味料が強い加工食品で犬には不向きな場合が多い,3
06109,生のずいきはシュウ酸・刺激性成分を含むことがあり、加熱処理がないと消化器刺激を起こす可能性がある,4
06042,かぶの塩漬けは漬物で塩分が高く加工品として注意が必要,3
13041,チーズスプレッドは良質な乳製品由来の脂質・タンパク源で使いやすいが、脂肪や塩分があるため量に注意が必要。,7
01094,玄米の五分がゆは消化性の良い炭水化物で犬の素材として適切（低刺激でエネルギー源になる）。,9
13046,低脂肪ラクトアイスは乳成分や糖分が含まれる加工品であり、扱いは可能だが加工度が高い。,6
05041,炒りあまには（亜麻仁）はオメガ3や食物繊維を含み適量なら有益だが、種子なので量の管理が必要。,7
15166,あんまんのあん（小豆）は加熱済みで安全だが、皮やあんに糖分や加工成分があるため素材としてはやや加工度が高い。,5
06268,ゆでほうれんそうはビタミンやミネラルが豊富だが、シュウ酸を含むため量や頻度に注意が必要。,6
13049,シャーベット（乳成分入り氷菓）は冷菓で糖分や酸味がある加工品のため、素材としては限定的に使用すべき。,5
16061,なぎなたこうじゅの浸出液は植物抽出液で成分が不明な部分があり、慎重を要する。,4
17051,カレールウは複合調味料で香辛料や脂質・塩分が多く含まれやすく、素材としては注意が必要。,3
06170,とうがらしの油いためは辛味成分を含み刺激が強いため、犬の素材としては不向き。,3
10418,するめいか（胴、生）は高品質なタンパク源で利用可能だが、生の魚介特有の取り扱いに注意が必要。,8
15068,もろこしらくがんは砂糖や加工成分を含む和菓子であり、素材としては用途が限られる。,5
15066,らくがん（みじん粉製品）は高糖質の菓子類であり、頻繁な使用には向かないが少量なら可。,5
06322,生わさびは刺激成分が強く消化器を刺激しやすいため、犬の素材としては不向き。,3
11038,焼きリブロース（脂身つき）は良質な動物性タンパク質・脂質源で犬のレシピ素材として非常に適している。,10
06121,ゆでぜんまいは伝統的に加熱して食べられる山菜で、加熱済みなら少量の使用は可能だが特有の成分に注意が必要。,6
02049,蒸しむらさきいも（皮なし）は消化の良い良質な炭水化物で犬に適した素材。,9
08053,乾しいたけの甘煮はキノコ由来で風味付けに使えるが、甘味や調味料が加わっている点に注意。,7
17038,チリソースは辛味や加工調味料を含み刺激・塩分が高くなりやすいため、素材としては不向き。,3
11220,生の鶏むね（皮なし）は低脂肪で良質なタンパク源として非常に適している。,10
04088,大豆由来の豆腐は良質な植物性タンパク源で犬のレシピ素材として適する。味付けや過剰な塩分に注意。,8
01205,食パンは消化しやすい炭水化物源で少量なら利用可だが、砂糖や塩の添加に留意。,6
17126,即席すまし汁は調味料・塩分が多く含まれることが多く、素材としては不向き。,4
09029,とさかのりはミネラルを含む海藻で少量なら安全。ヨウ素や塩分量には注意。,8
06352,葉ねぎはネギ類に該当し、溶血性貧血を引き起こす成分を含むため犬には禁忌。,1
15051,小麦粉せんべいは加工菓子で塩分・油分が含まれるため素材としては限定的に利用。,5
10141,塩蔵された鮭の卵は良質なタンパク源だが塩分が高めである点に注意。,6
18046,中華ちまきは複数の具材・調味料を含む複合食品で、素材としては適さない場合が多い。,3
01055,茹でた沖縄そばは炭水化物源として利用できるが、スープや添付調味料の有無に注意。,6
10434,蒸しサーモンは良質な動物性タンパクと必須脂肪酸を含み犬のレシピ素材として適している。,9
15094,ソーダクラッカーは加工炭水化物で塩分を含むため、少量なら使用可能。,6
01201,添付調味料を含む即席カップ麺は塩分・脂質・香辛料が高く、素材としては不適切。,3
02023,長芋はでん粉や栄養を含む根菜で犬にも適した素材。ただし生の粘性で刺激が出る場合がある。,8
02055,水煮のヤーコンは食物繊維（フラクトオリゴ糖）を含み、犬にとって利用しやすい根菜。,8
06145,大白菜の葉はビタミンや食物繊維が豊富で犬のレシピ素材として適している。,8
01020,強力粉は焼いて利用することで炭水化物源として使える。生粉の取り扱いには衛生面の注意が必要。,7
11295,鹿肉は低脂肪で良質な動物性タンパク源で犬に適している（生肉は加熱など衛生管理が望ましい）。,9
05033,松の実は脂質が高く高エネルギーのナッツ類にあたるため、少量であれば使えるが過剰は避ける。,5
01159,米粉パンは小麦不使用でアレルギー対応に有用だが加工品で塩分・油分を含む点に注意。,6
09049,粉寒天（てんぐさ由来のアガー）は増粘・ゲル化材として安全に使用できる素材。,9
09010,海藻でミネラル源になりやすく、塩抜きされているため素材として使いやすいが摂取量に注意が必要,8
06370,トマトの果実は犬に問題ないが、ドライは風味や酸味が濃縮されるため少量からが望ましい,7
15011,和菓子で砂糖やでん粉が多く加工度が高いので素材としては限定的に使用すべき,5
15104,高脂肪・高塩分のスナック加工食品で犬には不向きな点が多い,4
04024,加熱済みの大豆は良質な植物性たんぱく・食物繊維源として利用できるが消化に注意,8
02063,生のじゃがいもはソラニンなどの成分が懸念されるため、加熱が望ましい,4
05025,果皮を除いた可食部であれば利用可能だが、硬い殻や不溶性部分に注意が必要,6
10162,魚類は良質なたんぱく源だが開き干しは塩分や骨に注意して使う必要がある,8
07145,ライム果汁は酸性が強く刺激になり得るため、少量の使用に留めるべき,5
06037,ゆでたかぶは消化に良い根菜で犬のレシピ素材として適している,8
11243,すっぽん肉は良質なたんぱく源だが生は衛生面のリスクがあるため適切に処理して使用,9
15157,生八つ橋は砂糖・でん粉を多く含む菓子類で、素材としては限定的に用いるのが適当,5
03013,転化糖は高濃度の糖類であり、甘味付け以外の用途では適さないことが多い,5
03027,果糖ぶどう糖液糖は高濃度の糖類で常用には向かないが少量の甘味付けには使える,5
06008,ゆでたアスパラガスは消化しやすくビタミン・食物繊維の供給源として利用しやすい,8
07112,果肉以外（アルベド＝白皮部）を含むため、精油成分などで刺激を与える可能性がある,4
17087,だし入り醤油は塩分や調味料が濃く、素材としては不向きで量の管理が難しい,3
11307,ウインナーは加工肉で脂肪・塩分・添加物が多く、素材としては限定的に使用すべき,4
02051,水煮されたセレベス（里芋類）は加熱済みででん粉質の供給源として使いやすいが生は刺激がある,7
08032,栽培マッシュルームのゆでは犬でも問題なく利用できる安全な野菜素材,8
11182,生ハムは豚肉の良いたんぱく源だが、塩分や加工度が高いため素材としてはやや注意が必要,6
10352,やりいかは良質な海洋性たんぱく源で犬の素材として適切（加熱で安全性向上）,9
07036,缶詰のみかんは果実自体は安全だがシロップ等の加工があるため素材適性は中程度,6
10443,養殖サーモンのソテーは良質なタンパク・脂肪源で犬のレシピ素材として適切,9
06179,クリームスタイルの缶詰コーンは安全だが加工・乳成分等があるため使用はやや注意,6
05048,とうびしの茹では根菜類として安全で繊維も取れるため素材として適切,8
10071,うまづらはぎは良質な魚類のたんぱく源で犬の素材として適切（加熱推奨）,9
16030,アルコール含有の飲料は犬に中枢神経抑制等の有害作用を起こすため使用不可,1
11058,牛ランプは良質な赤身肉で犬のレシピ素材として非常に適している,10
10435,皮つきのサーモンの電子レンジ調理品は良質なたんぱく・脂肪源で犬向き（骨・皮の処理に注意）,9
15182,デニッシュは加工度・脂質・糖質が高く犬の主素材としてはあまり理想的でない,5
06390,つるにんじんの根は野菜の根菜として安全で繊維や栄養が期待できる素材,8
06073,茹でたみずなは葉物野菜として安全で犬のレシピ素材として適切,9
10164,水煮のさば缶は魚由来のたんぱく・脂肪源として有用（塩分の有無に注意）,9
11245,マトン（ロース）は優れた動物性たんぱく源だが脂質や風味に注意が必要,9
11135,豚もも（脂身）はたんぱく質源として使えるが脂肪分が高い点に注意,9
11242,かえる肉は低脂肪でたんぱく質源として利用可能な食材だが馴染みは薄い,8
14014,落花生油は調理油として使えるがピーナッツ由来のためナッツ関連の注意が必要,5
10386,さつま揚げは魚由来ではあるが加工品で塩分や添加物があるため素材適性は中程度,6
03023,メープルシロップは犬に直接有毒ではないが糖分が高く主素材としては適していない,5
10284,貝類で良質なタンパク源。缶詰の味付けにより塩分や調味料が含まれる点に注意。,6
06252,葉茎類の野菜でビタミンや食物繊維が豊富。犬のレシピ素材として適する。,8
05044,高脂肪で消化に負担をかけやすく、膵炎リスクやアレルギーに注意が必要。,4
01134,消化しやすい炭水化物源で、犬のレシピに使いやすい素材。,8
15095,加工度が高く砂糖・脂肪を含むことが多いため、素材としては常用に不向き。,5
04113,大豆由来の良質なタンパク源。油での加工形態は脂質に注意が必要。,7
15138,乳製品・砂糖を含む加工品で、消化や糖分について配慮が必要。,4
17096,調味料として風味が強く、塩分や酸味があるため少量向けの素材。,5
09008,海藻でミネラル供給に有用。ただしヨウ素量に注意して用いるべき。,7
01097,消化しやすい炭水化物で、特におかゆ形態は犬にとって使いやすい素材。,9
01135,油で揚げて味付けされたスナックで、塩分・香辛料や加工度が高い点が懸念。,3
06395,調理済みのブロッコリーは消化しやすくビタミンや食物繊維が豊富で適している。,8
06348,にんじん自体は安全だが、グラッセは糖や脂質が加わっている点に注意。,7
10454,焼きの赤身まぐろは良質なタンパク源で犬のレシピ素材として適している。,9
04009,加熱済みの豆類はタンパク質・食物繊維源だが、消化やガスに注意が必要。,7
06197,漬物は塩分や発酵調味が強く、素材として使う際は塩分管理が必要。,4
11146,赤身の豚肉は良質なタンパク源で適しているが、生肉の取り扱いには衛生管理が必要。,9
06381,調理済みのにんじんで使いやすいが、油で炒めてあるため脂質に留意。,7
06327,アスパラガスはビタミン・食物繊維の供給源。油炒めは脂質に配慮が必要。,7
11273,焼いた牛舌は内臓肉としてミネラルとタンパク質が豊富で、調理済みで使いやすい。,9
11120,豚かたロースは良質なタンパク源で犬のレシピ素材として適切,9
07155,レモンは皮に刺激成分が多く酸性が強いため、皮つきの全果は注意が必要,3
06410,ねぎ類は赤血球を破壊する有害成分を含むため犬には与えてはいけない,1
07066,グレープフルーツは苦味や酸味の成分が消化器や薬剤相互作用に注意を要するため控えめ推奨,4
11248,焼いた和牛リブロースは良質なタンパク源で犬のレシピ素材として適している,9
06346,にんじんは栄養豊富で安全だが素揚げは脂質が増えるため量に注意,8
14008,なたね油は良質な脂肪酸を供給する植物油で利用しやすい,8
01041,干しうどんは消化しやすい炭水化物源として使用可能,7
15130,クリームパンは砂糖や乳製品を多く含む加工食品で使用量に注意が必要,5
11297,牛の横隔膜（はらみ）は良質なたんぱくで犬の食材として適する,9
10042,うるめいわしは良質な魚たんぱく源だが生品は下処理・加熱などの配慮が必要,9
01190,ゆでた即席中華めんは炭水化物源として利用可能,7
18004,コーンクリームスープ粉末は加工度が高く塩分や添加物に注意して使うべき,5
09044,乾燥わかめはミネラル（ヨウ素）を多く含むため少量であれば利用可能,7
10171,さわらの切り身は良質な魚たんぱくで犬のレシピ素材として適切,9
02067,フライドポテトは高脂質の加工食品で使用量を制限すべき,5
04058,繊維状大豆たんぱくは植物性たんぱく源として利用可能だが個体差に注意,7
02007,蒸しさつまいもは消化性の良い炭水化物で犬に適している,8
07170,ナタデココはシロップ漬けで糖分が高いため少量での使用が望ましい,6
01072,小麦たんぱく（粒状）はたんぱく源として使えるがアレルギーに注意,6
17105,調味料で香味野菜や酒類、塩分や脂質を含むことがあり、犬の素材としては不向きな点があるため。,3
01030,小麦由来の炭水化物で消化可能だが栄養密度は低く補助的な素材としての適性。,7
01117,粘着性が強く喉に詰まりやすい点や加工食品である点から注意が必要。,5
06013,茎の可食部で食物繊維が豊富、犬のレシピ素材として問題ない野菜素材。,8
05012,甘露煮は糖分を含む加工品であるため加工度が高いが、栗自体は利用可能な素材。,5
15039,砂糖を多く含む和菓子の加工品で栄養密度が低く、素材としてはあまり適さない。,4
07162,柑橘類の果肉は適度に与えられる安全な果実部位であるため使用可能。,8
15103,高脂肪・高塩分の加工スナックであるため犬のレシピ素材としては不適切な点が多い。,4
11264,低脂肪の茹でた牛ももは良質なタンパク源で犬の素材として適している。,9
04021,豆類はたんぱく・繊維源として使えるが消化性に注意が必要な素材。,7
10465,魚の脂身は栄養源になるが、天ぷらの揚げ調理で脂質・加工度が高くなるため素材としては限定的。,4
01145,乾麺は炭水化物源として利用可能だが加工食品であり単体の栄養価は限定的。,6
02027,山芋類は一般に利用可能だが生の状態では刺激や消化不良を起こすことがあるため注意が必要。,6
11073,赤身の牛肉は良質なタンパク源で犬のレシピ素材として優れている。,9
05028,ナッツ類は高脂肪で消化負担や特定ミネラル過剰の懸念があり注意が必要。,4
01038,うどん（生）は小麦由来の炭水化物で素材にはなり得るが加工食品である点は留意。,6
06046,かぼちゃの果肉は消化に良く、犬に適した野菜素材である。,9
18009,えび自体は良い素材だが衣や揚げ調理された冷凍品は加工度が高く扱いに注意が必要。,4
17093,顆粒だしは強い調味成分や香味野菜を含むことがあり、犬に与えるには不向きな場合がある。,3
16057,水分補給にはなるが糖分・電解質配合があるため常用する素材としては適さない。,5
11285,鶏手羽は良質な動物性たんぱく源で、犬のレシピ素材として適している。,9
10461,蒸しマグロは良質な魚由来のたんぱく・脂肪源で、犬に適した素材。,9
11148,豚肩ロースは良質なたんぱく源だが脂肪が多めなので量に注意が必要。,8
10224,塩蔵かずのこは魚卵として栄養価は高いが塩分が高めなので使用量に注意が必要。,6
16021,マオタイ酒は高濃度のアルコールを含み、犬にとって有害である。,1
05035,落花生（ピーナッツ）は消化不良や脂肪過多・アレルギーを引き起こす可能性があるため慎重な扱いが必要。,4
11155,豚もも（脂肪少なめ）は良質なたんぱく源で犬の素材として適している。,9
07178,ぶどうは犬に腎障害を引き起こす可能性があるため禁止食品である。,1
06116,ズッキーニは低カロリーで消化に良い野菜で、犬のレシピ素材として適している。,9
04056,濃縮大豆たんぱくは植物性たんぱく源として利用できるが加工品である点に留意。,7
06266,へちま（ゆで）は消化性が良く安全な野菜で、犬の素材として適している。,8
